"dashboard.hawaii.gov","222a-sxyb",1
"opendata.utah.gov","222y-g6ni",6
"data.ok.gov","2237-wpt2",11
"reports.data.montgomerycountymd.gov","223a-scxm",4
"data.nccde.org","2247-jq7a",4
"data.ok.gov","224p-dyrd",5
"data.smcgov.org","224p-x9qf",11
"data.colorado.gov","224u-vgv7",2
"data.cityofchicago.org","2254-k2iv",1
"data.cityofnewyork.us","2258-xi2y",3
"data.oregon.gov","225a-y2vc",6
"stat.cityofgainesville.org","225r-p4zg",2
"data.hawaii.gov","2268-tvmz",2
"data.sfgov.org","2276-bg4m",7
"lombardia.socrata.com","2278-nkf6",10
"data.lacity.org","227j-qs62",1
"data.wa.gov","227u-9gex",2
"explore.data.gov","228k-yznw",119
"health.data.ny.gov","229q-ixca",20
"data.seattle.gov","22ag-ckeq",8
"opensourcedata.socrata.com","22aw-fj7k",8
"data.cityofnewyork.us","22b5-sytd",3
"itdashboard.socrata.com","22by-5aiv",1
"opensourcedata.socrata.com","22c9-tmie",4
"data.hawaii.gov","22d2-4ucd",5
"data.cityofnewyork.us","22d8-zbv4",16
"data.wa.gov","22df-wezu",30
"data.cms.gov","22eb-yjgb",1
"data.ny.gov","22ew-dxez",6
"data.cityofchicago.org","22f8-unv3",14
"data.chattlibrary.org","22fj-9uch",2
"data.illinois.gov","22fv-nt24",1
"data.cityofchicago.org","22g3-t5yn",4
"data.cityofnewyork.us","22ha-5y43",20
"data.cityofchicago.org","22hk-wvgh",3
"data.hawaii.gov","22ij-z5fe",1
"data.cityofnewyork.us","22ip-7hx5",1
"bythenumbers.sco.ca.gov","22j6-gwp5",6
"data.medicare.gov","22jm-q98n",2
"data.ny.gov","22m3-gvaz",12
"data.illinois.gov","22pe-xmwu",12
"reports.data.montgomerycountymd.gov","22pg-9tub",4
"data.illinois.gov","22pt-r2yq",6
"performance.lacity.org","22q6-4bun",1
"www.data.act.gov.au","22rs-ycdh",5
"data.kingcounty.gov","22rz-sf34",1
"data.ny.gov","22sj-i559",2
"data.seattle.gov","22ta-dcy2",1
"data.cityofnewyork.us","22tb-8cfa",5
"www.dallasopendata.com","22tr-6n7q",33
"data.cityofchicago.org","22u3-xenr",15
"data.cityofchicago.org","22u9-hr5w",14
"data.wa.gov","22uk-678z",1
"data.providenceri.gov","22v2-tqcz",2
"data.edmonton.ca","22v2-ydfv",2
"data.datamontana.us","22vf-z6zy",47
"data.hawaii.gov","22w4-bb55",1
"data.cityofnewyork.us","22ww-vtwh",4
"data.cityofchicago.org","22x4-zs2e",5
"data.maryland.gov","22x9-aci5",1
"data.cityofnewyork.us","22xg-xe9k",5
"data.cityofnewyork.us","22xr-bd8q",17
"www.datossct.gob.mx","22y5-7bwu",17
"performance.smcgov.org","22y6-u2z3",17
"data.illinois.gov","22y8-6fk5",1
"data.illinois.gov","22ze-4844",2
"data.cityofnewyork.us","22zm-qrtq",1
"data.cityofnewyork.us","232c-uynf",3
"data.weatherfordtx.gov","232d-ybwb",2
"chhs.data.ca.gov","232h-m5cb",1
"reports.data.montgomerycountymd.gov","232w-62zg",3
"data.results.wa.gov","2335-yp33",6
"health.data.ny.gov","2339-dxd6",3
"data.montgomerycountymd.gov","233c-i6vs",22
"data.cityofnewyork.us","234z-jdfv",23
"data.wa.gov","235j-5nrt",7
"mondara.socrata.com","235x-5v6t",9
"data.edmonton.ca","2362-kjsq",2
"data.lacity.org","2368-xsiv",1
"data.baltimorecity.gov","2369-apjz",8
"data.cityofnewyork.us","2369-r52c",8
"www.natsdatasct.gob.mx","236c-69v4",2
"data.countyofriverside.us","236q-6r5a",8
"healthmeasures.aspe.hhs.gov","236v-j43d",2
"data.melbourne.vic.gov.au","2376-vxrj",12
"data.sfgov.org","237n-egqq",11
"data.lacity.org","237v-7w7c",2
"data.rentonwa.gov","238i-dxx7",2
"data.ny.gov","238s-kr2h",2
"mondara.socrata.com","238z-rjti",17
"data.raleighnc.gov","239e-k8dy",3
"data.oregon.gov","239h-dezf",5
"opendata.utah.gov","23bk-a27s",16
"data.acgov.org","23c3-2ank",3
"data.kcmo.org","23c8-k3he",19
"opendata.utah.gov","23cs-58z9",1
"data.cityofnewyork.us","23dp-aud4",14
"data.kingcounty.gov","23eh-z2k6",17
"data.medicare.gov","23ew-n7w9",51
"www.natsdatasct.gob.mx","23f6-c7vk",2
"data.cityofnewyork.us","23f8-pzff",9
"data.datamontana.us","23fa-rd3h",5
"data.cdc.gov","23fz-9az4",16
"data.undp.org","23g5-4fk8",1
"data.ct.gov","23ga-i5ff",20
"data.nlc.org","23gb-x37m",3
"data.seattle.gov","23gp-4mk5",10
"data.cdc.gov","23gt-ssfe",16
"data.sfgov.org","23gy-whq3",6
"data.kcmo.org","23hp-xprx",6
"data.kcmo.org","23i2-v9kj",7
"data.hawaii.gov","23ir-wshs",9
"data.medicare.gov","23is-9gnn",3
"explore.data.gov","23jb-cahg",1
"data.tol.ca","23jg-kvxd",6
